,Method,Mark,Dataset,binsize,feature_selection,kmeans_ami,kmeans_ari,ward_ami,ward_ari,cosine_ami,cosine_ari,silhouette
47,SnapATAC,H3K27me3,scChIP_Marsolier_2022,20,raw,0.5537695608455058,0.6426335630162577,0.3292845012677217,0.3318857033066175,0.7649972299661517,0.8466130573816066,0.5616298279219074
48,cisTopic,H3K27me3,scChIP_Marsolier_2022,20,raw,0.547888428429958,0.6348052266371783,0.8081998071624835,0.8919160316218199,0.3555260256107052,0.4072269579293593,0.3290022694483143
49,PeakVI,H3K27me3,scChIP_Marsolier_2022,20,raw,0.5295183725482636,0.6212640301948481,0.5729784516385706,0.6953041000004898,0.3972072007136865,0.4482277169334704,0.3268059313588825
50,SCALE,H3K27me3,scChIP_Marsolier_2022,20,raw,0.5086384775939463,0.5901929945539028,0.3674596077043427,0.4160574432324332,0.0010476127740274,0.0087617833526152,0.3426335887440232
51,NMF,H3K27me3,scChIP_Marsolier_2022,20,raw,0.1972977942960204,0.2857605811145617,0.2368406501812031,0.3446456369666099,0.0001169054858036,0.0001615305726454,0.2450139864145903
52,TFIDF-NMF,H3K27me3,scChIP_Marsolier_2022,20,raw,0.7815148471035381,0.870514967445672,0.8743606896116953,0.9360181636602816,0.4032004410109522,0.437419640607455,0.2213541077260904
53,Chromscape_LSI,H3K27me3,scChIP_Marsolier_2022,100,raw,0.3093911042617768,0.4270408561741838,0.4663348565010323,0.5211155688324535,0.5634741378759297,0.6480326064813537,0.2881920611227412
54,Chromscape_PCA,H3K27me3,scChIP_Marsolier_2022,100,raw,0.536137775422735,0.6074314405267243,0.3707568644176611,0.4169287723618096,0.915026984473975,0.9597136025159672,0.4444277630189608
55,Signac,H3K27me3,scChIP_Marsolier_2022,100,raw,0.0255937112102832,0.0026592041520203,0.2300882708055441,0.2449065313421168,0.2559796961287966,0.2539334894803318,0.0184490353517279
56,SnapATAC,H3K27me3,scChIP_Marsolier_2022,100,raw,0.5537155694335656,0.6353139522808339,0.8275573021289154,0.8920562259483724,0.4975794536702633,0.4889828362208053,0.5749190306713117
57,cisTopic,H3K27me3,scChIP_Marsolier_2022,100,raw,0.6673241782735648,0.7583781637558488,0.8168009450067236,0.8975086719512091,0.3679826558982876,0.4143354218954155,0.4024854251038191
58,PeakVI,H3K27me3,scChIP_Marsolier_2022,100,raw,0.7846943878750497,0.8716380795380616,0.8818637039583035,0.9351468363606118,0.7414459230815552,0.8353722316548633,0.2812165138919435
59,SCALE,H3K27me3,scChIP_Marsolier_2022,100,raw,0.0229801478932468,0.0026130100215593,0.0311706927712483,0.0259530608124824,0.0021536819807362,0.0152452577917345,0.2929747059026203
60,NMF,H3K27me3,scChIP_Marsolier_2022,100,raw,0.0604835069119874,0.1181839838427276,0.1620371623065775,0.2520981984842242,0.000118167818872,0.0001632870637767,0.2594745663946036
61,TFIDF-NMF,H3K27me3,scChIP_Marsolier_2022,100,raw,0.787567102191414,0.8752178670400321,0.3925917044906106,0.4048981703725555,0.3241161115511973,0.3084148703731253,0.3111081798530511
62,Chromscape_LSI,H3K27me3,scChIP_Marsolier_2022,5,raw,0.628262913726055,0.7433459041990004,0.3514116007889593,0.3576500342813243,0.6981981126277736,0.8049703236734438,0.2516843520058778
