,Method,K,fraction,frac. shared neighbors,Mark,Dataset,binsize,feature_selection
184,Chromscape_LSI,10,0.005,0.02885,H3K9me3,PairedTag_Zhu_2021,30,sampled_cell_n_2000
185,Chromscape_LSI,20,0.01,0.04615,H3K9me3,PairedTag_Zhu_2021,30,sampled_cell_n_2000
186,Chromscape_LSI,60,0.03,0.09665,H3K9me3,PairedTag_Zhu_2021,30,sampled_cell_n_2000
187,Chromscape_LSI,100,0.05,0.13305,H3K9me3,PairedTag_Zhu_2021,30,sampled_cell_n_2000
188,Chromscape_LSI,200,0.1,0.1976425,H3K9me3,PairedTag_Zhu_2021,30,sampled_cell_n_2000
189,Chromscape_LSI,10,0.001,0.01627,H3K9me3,PairedTag_Zhu_2021,500,sampled_cell_n_10000
190,Chromscape_LSI,30,0.003,0.0381633333333333,H3K9me3,PairedTag_Zhu_2021,500,sampled_cell_n_10000
191,Chromscape_LSI,50,0.005,0.054856,H3K9me3,PairedTag_Zhu_2021,500,sampled_cell_n_10000
192,Chromscape_LSI,100,0.01,0.088354,H3K9me3,PairedTag_Zhu_2021,500,sampled_cell_n_10000
193,Chromscape_LSI,300,0.03,0.1634873333333333,H3K9me3,PairedTag_Zhu_2021,500,sampled_cell_n_10000
194,Chromscape_LSI,500,0.05,0.2061568,H3K9me3,PairedTag_Zhu_2021,500,sampled_cell_n_10000
195,Chromscape_LSI,1000,0.1,0.268224,H3K9me3,PairedTag_Zhu_2021,500,sampled_cell_n_10000
196,Chromscape_LSI,10,0.001,0.01164,H3K9me3,PairedTag_Zhu_2021,1000,sampled_cell_n_10000
197,Chromscape_LSI,30,0.003,0.0294033333333333,H3K9me3,PairedTag_Zhu_2021,1000,sampled_cell_n_10000
198,Chromscape_LSI,50,0.005,0.043102,H3K9me3,PairedTag_Zhu_2021,1000,sampled_cell_n_10000
199,Chromscape_LSI,100,0.01,0.070152,H3K9me3,PairedTag_Zhu_2021,1000,sampled_cell_n_10000
200,Chromscape_LSI,300,0.03,0.1342036666666666,H3K9me3,PairedTag_Zhu_2021,1000,sampled_cell_n_10000
201,Chromscape_LSI,500,0.05,0.1734514,H3K9me3,PairedTag_Zhu_2021,1000,sampled_cell_n_10000
202,Chromscape_LSI,1000,0.1,0.2348162,H3K9me3,PairedTag_Zhu_2021,1000,sampled_cell_n_10000
203,Chromscape_LSI,10,0.001,0.00944,H3K9me3,PairedTag_Zhu_2021,10,sampled_cell_n_10000
204,Chromscape_LSI,30,0.003,0.0215466666666666,H3K9me3,PairedTag_Zhu_2021,10,sampled_cell_n_10000
205,Chromscape_LSI,50,0.005,0.031232,H3K9me3,PairedTag_Zhu_2021,10,sampled_cell_n_10000
206,Chromscape_LSI,100,0.01,0.052159,H3K9me3,PairedTag_Zhu_2021,10,sampled_cell_n_10000
207,Chromscape_LSI,300,0.03,0.1080286666666666,H3K9me3,PairedTag_Zhu_2021,10,sampled_cell_n_10000
208,Chromscape_LSI,500,0.05,0.1471354,H3K9me3,PairedTag_Zhu_2021,10,sampled_cell_n_10000
209,Chromscape_LSI,1000,0.1,0.2136959,H3K9me3,PairedTag_Zhu_2021,10,sampled_cell_n_10000
210,Chromscape_LSI,10,0.001,0.02104,H3K9me3,PairedTag_Zhu_2021,50,sampled_cell_n_10000
211,Chromscape_LSI,30,0.003,0.0475533333333333,H3K9me3,PairedTag_Zhu_2021,50,sampled_cell_n_10000
212,Chromscape_LSI,50,0.005,0.067118,H3K9me3,PairedTag_Zhu_2021,50,sampled_cell_n_10000
213,Chromscape_LSI,100,0.01,0.103405,H3K9me3,PairedTag_Zhu_2021,50,sampled_cell_n_10000
214,Chromscape_LSI,300,0.03,0.183176,H3K9me3,PairedTag_Zhu_2021,50,sampled_cell_n_10000
215,Chromscape_LSI,500,0.05,0.2279462,H3K9me3,PairedTag_Zhu_2021,50,sampled_cell_n_10000
216,Chromscape_LSI,1000,0.1,0.2914195,H3K9me3,PairedTag_Zhu_2021,50,sampled_cell_n_10000
217,Chromscape_LSI,10,0.001,0.01226,H3K9me3,PairedTag_Zhu_2021,20,sampled_cell_n_10000
218,Chromscape_LSI,30,0.003,0.02782,H3K9me3,PairedTag_Zhu_2021,20,sampled_cell_n_10000
