,Method,K,fraction,frac. shared neighbors,Mark,Dataset,binsize,feature_selection
123,TFIDF-NMF,542,0.05,0.2473744099123493,H3K9me3,PairedTag_Zhu_2021,30,filtered_cell_q_10_100
124,NMF,1084,0.1,0.162947158712432,H3K9me3,PairedTag_Zhu_2021,30,filtered_cell_q_10_100
125,TFIDF-NMF,1084,0.1,0.3218535210903257,H3K9me3,PairedTag_Zhu_2021,30,filtered_cell_q_10_100
127,NMF,12,0.001,0.0100188198826524,H3K9me3,PairedTag_Zhu_2021,500,filtered_q_75
128,TFIDF-NMF,12,0.001,0.01637053027787,H3K9me3,PairedTag_Zhu_2021,500,filtered_q_75
130,NMF,36,0.003,0.0223255470681574,H3K9me3,PairedTag_Zhu_2021,500,filtered_q_75
131,TFIDF-NMF,36,0.003,0.0368117827226096,H3K9me3,PairedTag_Zhu_2021,500,filtered_q_75
133,NMF,60,0.005,0.0323397542344736,H3K9me3,PairedTag_Zhu_2021,500,filtered_q_75
134,TFIDF-NMF,60,0.005,0.0531979962360234,H3K9me3,PairedTag_Zhu_2021,500,filtered_q_75
136,NMF,120,0.01,0.0521961142477582,H3K9me3,PairedTag_Zhu_2021,500,filtered_q_75
137,TFIDF-NMF,120,0.01,0.0854900088564153,H3K9me3,PairedTag_Zhu_2021,500,filtered_q_75
139,NMF,361,0.03,0.1019086525767476,H3K9me3,PairedTag_Zhu_2021,500,filtered_q_75
140,TFIDF-NMF,361,0.03,0.1589840023330889,H3K9me3,PairedTag_Zhu_2021,500,filtered_q_75
142,NMF,602,0.05,0.1376843875888078,H3K9me3,PairedTag_Zhu_2021,500,filtered_q_75
143,TFIDF-NMF,602,0.05,0.2029518564819361,H3K9me3,PairedTag_Zhu_2021,500,filtered_q_75
145,NMF,1204,0.1,0.2018036579055092,H3K9me3,PairedTag_Zhu_2021,500,filtered_q_75
146,TFIDF-NMF,1204,0.1,0.2669891323177143,H3K9me3,PairedTag_Zhu_2021,500,filtered_q_75
148,NMF,12,0.001,0.0109805712387911,H3K9me3,PairedTag_Zhu_2021,1000,filtered_q_75
149,TFIDF-NMF,12,0.001,0.0139765304992804,H3K9me3,PairedTag_Zhu_2021,1000,filtered_q_75
151,NMF,36,0.003,0.0239515295767371,H3K9me3,PairedTag_Zhu_2021,1000,filtered_q_75
152,TFIDF-NMF,36,0.003,0.0321575519391859,H3K9me3,PairedTag_Zhu_2021,1000,filtered_q_75
154,NMF,60,0.005,0.0346396545998007,H3K9me3,PairedTag_Zhu_2021,1000,filtered_q_75
155,TFIDF-NMF,60,0.005,0.0466663899036864,H3K9me3,PairedTag_Zhu_2021,1000,filtered_q_75
157,NMF,120,0.01,0.0550682220746153,H3K9me3,PairedTag_Zhu_2021,1000,filtered_q_75
158,TFIDF-NMF,120,0.01,0.0749321930698549,H3K9me3,PairedTag_Zhu_2021,1000,filtered_q_75
160,NMF,361,0.03,0.1046030666871517,H3K9me3,PairedTag_Zhu_2021,1000,filtered_q_75
161,TFIDF-NMF,361,0.03,0.1414115463982019,H3K9me3,PairedTag_Zhu_2021,1000,filtered_q_75
163,NMF,602,0.05,0.1384164762427025,H3K9me3,PairedTag_Zhu_2021,1000,filtered_q_75
164,TFIDF-NMF,602,0.05,0.1814916458037031,H3K9me3,PairedTag_Zhu_2021,1000,filtered_q_75
166,NMF,1204,0.1,0.1999152332918832,H3K9me3,PairedTag_Zhu_2021,1000,filtered_q_75
167,TFIDF-NMF,1204,0.1,0.244101707360939,H3K9me3,PairedTag_Zhu_2021,1000,filtered_q_75
169,NMF,12,0.001,0.0034180228052695,H3K9me3,PairedTag_Zhu_2021,10,filtered_q_75
170,TFIDF-NMF,12,0.001,0.0183424665116794,H3K9me3,PairedTag_Zhu_2021,10,filtered_q_75
172,NMF,36,0.003,0.0082729067493265,H3K9me3,PairedTag_Zhu_2021,10,filtered_q_75
173,TFIDF-NMF,36,0.003,0.0407372043248828,H3K9me3,PairedTag_Zhu_2021,10,filtered_q_75
175,NMF,60,0.005,0.0123616185099081,H3K9me3,PairedTag_Zhu_2021,10,filtered_q_75
