,Method,Mark,Dataset,binsize,feature_selection,kmeans_ami,kmeans_ari,ward_ami,ward_ari,silhouette
115,NMF,H3K4me3,scChIP_Grosselin_2019,200,raw,0.1021947826710539,0.0003075365770422,0.0854868222159195,-0.0058339120090458,0.1983642952480326
116,TFIDF-NMF,H3K4me3,scChIP_Grosselin_2019,200,raw,0.9870458565017628,0.9954012025730606,0.9911609424149364,0.996714073892384,0.3026739923981936
117,Chromscape_LSI,H3K4me3,scChIP_Grosselin_2019,30,raw,0.9434320606432588,0.9719170470533957,0.9846042649940988,0.9940892316943396,0.4232252496570259
118,Chromscape_PCA,H3K4me3,scChIP_Grosselin_2019,30,raw,-4.064983015273738e-05,-5.6427784005098615e-05,-4.064983015273738e-05,-5.6427784005098615e-05,0.0278516978572729
119,Signac,H3K4me3,scChIP_Grosselin_2019,30,raw,0.0196721212918745,-0.006450218711974,0.0137711765908828,-0.0052937921796543,0.0167366752308011
120,SnapATAC,H3K4me3,scChIP_Grosselin_2019,30,raw,0.9943305500594728,0.9980277935074076,0.996026716420924,0.9986849787248993,0.7512570656271279
121,cisTopic,H3K4me3,scChIP_Grosselin_2019,30,raw,0.996026716420924,0.9986849787248993,0.996026716420924,0.9986849787248993,0.6530317011063522
122,PeakVI,H3K4me3,scChIP_Grosselin_2019,30,raw,0.996026716420924,0.9986849787248993,0.996026716420924,0.9986849787248993,0.4816040762965786
123,SCALE,H3K4me3,scChIP_Grosselin_2019,30,raw,0.9927155593767852,0.9973708252312457,0.9881879746656694,0.9954012220104572,0.5571857185142213
124,NMF,H3K4me3,scChIP_Grosselin_2019,30,raw,4.907183779239146e-05,6.811873635158313e-05,4.907183779239146e-05,6.811873635158313e-05,0.3262961453065667
125,TFIDF-NMF,H3K4me3,scChIP_Grosselin_2019,30,raw,0.987046386663802,0.995401207484029,0.9943305500594728,0.9980277935074076,0.319370798646155
