,Method,Mark,Dataset,binsize,feature_selection,kmeans_ami,kmeans_ari,ward_ami,ward_ari,silhouette
63,Chromscape_LSI,H3K27ac,PairedTag_Zhu_2021,1000,raw,0.557507655051616,0.3284395383364148,0.547086235860019,0.3364366977805009,0.0336258035112314
64,Chromscape_PCA,H3K27ac,PairedTag_Zhu_2021,1000,raw,0.4826551005852307,0.2608090229125791,0.4638550773218181,0.2782859787665099,0.0111515881672089
65,Signac,H3K27ac,PairedTag_Zhu_2021,1000,raw,0.637484348992964,0.4417371618027976,0.5542224861531073,0.2933510542997027,0.0255555675796935
66,SnapATAC,H3K27ac,PairedTag_Zhu_2021,1000,raw,0.4286671508993223,0.2101388471723819,0.4377982872071322,0.202316099486569,-0.017185591418438
67,cisTopic,H3K27ac,PairedTag_Zhu_2021,1000,raw,0.4205248956393746,0.2036623182264621,0.4016297000926499,0.1807406901273358,-0.0179339208386006
68,PeakVI,H3K27ac,PairedTag_Zhu_2021,1000,raw,0.5092708922149811,0.3115085409776727,0.5036728636924998,0.297775261147155,-0.0069061477325914
69,SCALE,H3K27ac,PairedTag_Zhu_2021,1000,raw,0.4317880994895836,0.2232112165719469,0.3972937169170322,0.2056029378326767,-0.0359803976581031
70,Chromscape_LSI,H3K27ac,PairedTag_Zhu_2021,50,raw,0.4845418892745457,0.2537566661823017,0.5286299868579127,0.3093089616067509,-0.0140773248071394
71,Chromscape_PCA,H3K27ac,PairedTag_Zhu_2021,50,raw,0.4685329753079992,0.2662170567167575,0.479424628338986,0.2944116402388502,-0.0036788374432203
72,Signac,H3K27ac,PairedTag_Zhu_2021,50,raw,0.4754365378885481,0.1783514114417175,0.5809423092073944,0.2864650303726836,-0.0842451211233624
73,SnapATAC,H3K27ac,PairedTag_Zhu_2021,50,raw,0.4805086700569695,0.2404269748578745,0.4920434933620449,0.2477251115155337,-0.0117505859621811
74,cisTopic,H3K27ac,PairedTag_Zhu_2021,50,raw,0.5342632146647405,0.2919628059204807,0.5341716176711132,0.3056168451630934,0.0232516039976111
75,PeakVI,H3K27ac,PairedTag_Zhu_2021,50,raw,0.5461015924963023,0.3704713545208801,0.5358563243247335,0.3797420894393113,0.0199899949956239
76,SCALE,H3K27ac,PairedTag_Zhu_2021,50,raw,0.5165698029960913,0.321225326181881,0.5195018182836411,0.3197155424080438,0.0192299223638951
77,Chromscape_LSI,H3K27ac,PairedTag_Zhu_2021,20,raw,0.4837542240136318,0.2535765473272219,0.492967743359374,0.2527459935907941,-0.0419926360988367
78,Chromscape_PCA,H3K27ac,PairedTag_Zhu_2021,20,raw,0.3783485738891818,0.1638679085915974,0.3730513140402245,0.1818730179180345,-0.0821024037046231
79,Signac,H3K27ac,PairedTag_Zhu_2021,20,raw,0.0148759869915305,0.0024780511616447,0.0002925698192698,0.0001508751075001,-0.0899442752344416
80,SnapATAC,H3K27ac,PairedTag_Zhu_2021,20,raw,0.4871647519958978,0.2441812884646446,0.5071364256092002,0.2628171543317639,-0.0122990213296061
81,cisTopic,H3K27ac,PairedTag_Zhu_2021,20,raw,0.5591409019974032,0.3186104973147351,0.5475736443353783,0.3005289403838646,0.0286707912271651
82,PeakVI,H3K27ac,PairedTag_Zhu_2021,20,raw,0.4774142823387633,0.3188771629453999,0.4646171919108452,0.3206790247636636,-0.0021166224393016
83,SCALE,H3K27ac,PairedTag_Zhu_2021,20,raw,0.4744949984257594,0.2564440475293187,0.4677336841772793,0.2517491002482303,-0.0101612281923437
84,Chromscape_LSI,H3K27ac,PairedTag_Zhu_2021,100,raw,0.5189718476904811,0.2897615827753069,0.5381126661475791,0.3027421104926326,0.0036954752535896
85,Chromscape_PCA,H3K27ac,PairedTag_Zhu_2021,100,raw,0.4990893774458561,0.2948388873691939,0.4778233536100079,0.2732508740334342,0.0250969887940811
86,Signac,H3K27ac,PairedTag_Zhu_2021,100,raw,0.5636047089732145,0.2486288548619529,0.643718144703637,0.4401667290486341,-0.0754358980302138
87,SnapATAC,H3K27ac,PairedTag_Zhu_2021,100,raw,0.4807181893084206,0.2415637522168307,0.4770854861726056,0.2380803825773675,-0.0110720613834925
88,cisTopic,H3K27ac,PairedTag_Zhu_2021,100,raw,0.5370237671520929,0.3157168663598586,0.5371514597367401,0.3119260745996544,0.0071363495187512
89,PeakVI,H3K27ac,PairedTag_Zhu_2021,100,raw,0.5674155519355966,0.3858271379915468,0.5662722956390155,0.3953888470350377,0.0345823789257047
90,SCALE,H3K27ac,PairedTag_Zhu_2021,100,raw,0.5088540098813353,0.297516931785822,0.5085886166663177,0.2833073079935538,0.0211978565559075
91,Chromscape_LSI,H3K27ac,PairedTag_Zhu_2021,300,raw,0.5450283809207915,0.3256491813916496,0.5457479158405885,0.3112288925074106,0.0313004345351394
92,Chromscape_PCA,H3K27ac,PairedTag_Zhu_2021,300,raw,0.5053651974627488,0.2927086739921992,0.4876848755634342,0.2882463288415677,0.0244674562062901
93,Signac,H3K27ac,PairedTag_Zhu_2021,300,raw,0.6290515414024865,0.3644693084216558,0.6046177061963834,0.3629433161308258,-0.0182102852786517
94,SnapATAC,H3K27ac,PairedTag_Zhu_2021,300,raw,0.4753416578308004,0.2452864148150946,0.4826070331947363,0.2506469218974322,-0.0103938751195306
95,cisTopic,H3K27ac,PairedTag_Zhu_2021,300,raw,0.5188659777048035,0.2757294725833619,0.5002113565019517,0.274325450491463,0.0076770245752703
96,PeakVI,H3K27ac,PairedTag_Zhu_2021,300,raw,0.5794608135915745,0.3713910965283423,0.5813723499292058,0.4084629811232956,0.0543327522839709
97,SCALE,H3K27ac,PairedTag_Zhu_2021,300,raw,0.5017471527022831,0.285090974124415,0.5042338402815673,0.2892196766915119,0.0125748623582143
98,Chromscape_LSI,H3K27ac,PairedTag_Zhu_2021,200,raw,0.5281542979332254,0.3037754157330991,0.541146858694492,0.3030606684254964,0.025521443369985
99,Chromscape_PCA,H3K27ac,PairedTag_Zhu_2021,200,raw,0.4953974786369922,0.2844660184770229,0.4757215925576046,0.2718158725176228,0.0204170600337249
100,Signac,H3K27ac,PairedTag_Zhu_2021,200,raw,0.6101029932899058,0.3203558405982827,0.6209617212724262,0.391253784572609,-0.0389951994542394
101,SnapATAC,H3K27ac,PairedTag_Zhu_2021,200,raw,0.477906151628518,0.2453770196154893,0.4912099895845571,0.2483315284967578,-0.0098681953041876
102,cisTopic,H3K27ac,PairedTag_Zhu_2021,200,raw,0.546058866292707,0.3077169287284927,0.5318304548992899,0.3289324985852505,0.0248315089839473
103,PeakVI,H3K27ac,PairedTag_Zhu_2021,200,raw,0.5875707403637368,0.3878939504629261,0.5858662175123133,0.4050076044698401,0.0587859707744238
104,SCALE,H3K27ac,PairedTag_Zhu_2021,200,raw,0.4722289547318789,0.259888266200002,0.4470809686029973,0.2405153848296476,-0.0119822622549059
105,Chromscape_LSI,H3K27ac,PairedTag_Zhu_2021,30,raw,0.477349084403347,0.2580744602605306,0.5409858150426341,0.3357632701456595,-0.0272939728193842
106,Chromscape_PCA,H3K27ac,PairedTag_Zhu_2021,30,raw,0.411061460531906,0.2031140966951724,0.3893839944827792,0.2121180092896892,-0.0354936719882022
107,Signac,H3K27ac,PairedTag_Zhu_2021,30,raw,0.341107827605772,0.0941667395518845,0.2112054328965446,0.0413372469940807,-0.0778882497905812
108,SnapATAC,H3K27ac,PairedTag_Zhu_2021,30,raw,0.4820867738947471,0.2419144237705779,0.5024893273239133,0.2663077880465281,-0.0120850027316598
109,cisTopic,H3K27ac,PairedTag_Zhu_2021,30,raw,0.5190837607681327,0.2733492497819668,0.5048207900107714,0.25238801514929,0.003811217476256
110,PeakVI,H3K27ac,PairedTag_Zhu_2021,30,raw,0.5041966460624222,0.3241186542351065,0.483404049382413,0.3453404968984901,0.0085254083892087
111,SCALE,H3K27ac,PairedTag_Zhu_2021,30,raw,0.5232322422867604,0.3244211276119145,0.5153619933411726,0.2978505735288346,0.0248330344999991
112,Chromscape_LSI,H3K4me1,PairedTag_Zhu_2021,500,raw,0.5700162132965677,0.3528501066737968,0.5725042877798038,0.3627364382704402,0.0576560583007026
113,Chromscape_PCA,H3K4me1,PairedTag_Zhu_2021,500,raw,0.5439412185617906,0.3394813578063052,0.5459711427966166,0.3578003741509766,0.0387206336281647
114,Signac,H3K4me1,PairedTag_Zhu_2021,500,raw,0.6795892072166979,0.4976393469216853,0.6207584518166944,0.400351685842625,0.0453419748477827
115,SnapATAC,H3K4me1,PairedTag_Zhu_2021,500,raw,0.4306945030079547,0.2069904406331935,0.4284663772944881,0.194770640990752,-0.0218534482480516
116,cisTopic,H3K4me1,PairedTag_Zhu_2021,500,raw,0.46186263594101,0.2329011624573666,0.4526594680286796,0.2308094825844581,-0.0197566137918885
117,PeakVI,H3K4me1,PairedTag_Zhu_2021,500,raw,0.5532219908611254,0.3380559962597655,0.5570857284735893,0.3697509131872163,0.0435806663545508
118,SCALE,H3K4me1,PairedTag_Zhu_2021,500,raw,0.4607781110394769,0.2396061790081516,0.4544119801861394,0.2385685457410623,-0.0080042780165274
119,Chromscape_LSI,H3K4me1,PairedTag_Zhu_2021,1000,raw,0.5571866231830637,0.3541897989300979,0.5432783657962053,0.3395694658032625,0.0497358381681546
120,Chromscape_PCA,H3K4me1,PairedTag_Zhu_2021,1000,raw,0.5051884594793122,0.3033848246329537,0.4865327724430215,0.311476261578109,0.0230512845951929
121,Signac,H3K4me1,PairedTag_Zhu_2021,1000,raw,0.6517513469778421,0.5019768099832966,0.5799544818329245,0.3171383773317701,0.0427136772056526
122,SnapATAC,H3K4me1,PairedTag_Zhu_2021,1000,raw,0.3582324192938511,0.1545949164692301,0.368995776448825,0.1541793792031748,-0.0332125117972568
