,Method,Mark,Dataset,binsize,feature_selection,kmeans_ami,kmeans_ari,ward_ami,ward_ari,silhouette
85,Signac,H3K9me3,scCutTagPro_Zhang_2021,200,raw,0.2937392861612092,0.2793688613567962,0.0162005101973975,-0.0112525198661053,-0.08852634909646
86,SnapATAC,H3K9me3,scCutTagPro_Zhang_2021,200,raw,0.2949542972092115,0.2204588425912086,0.2694477792332361,0.1831809196102898,-0.0830365564401557
87,cisTopic,H3K9me3,scCutTagPro_Zhang_2021,200,raw,0.2991652973617349,0.1994184286705634,0.2712231921807903,0.1707693710896186,-0.0406060238783643
88,NMF,H3K9me3,scCutTagPro_Zhang_2021,200,raw,0.148828407315706,0.081850529531081,0.2381730528249292,0.1823830292363784,-0.15042910779751
89,TFIDF-NMF,H3K9me3,scCutTagPro_Zhang_2021,200,raw,0.2541639484845135,0.2415425946447373,0.2184651206195549,0.1993108508410658,-0.0446556128655184
90,Chromscape_LSI,H3K9me3,scCutTagPro_Zhang_2021,SicerPseudoBulk20000,raw,0.1398772152519191,0.1086443474513834,0.1219817044008773,0.0819680946308591,-0.0636786185915462
91,Chromscape_PCA,H3K9me3,scCutTagPro_Zhang_2021,SicerPseudoBulk20000,raw,0.0154609039157,0.0299373652897708,0.0173896180955557,0.0453777260022211,-0.0626087181326179
92,Signac,H3K9me3,scCutTagPro_Zhang_2021,SicerPseudoBulk20000,raw,0.0773649459566627,0.0287491042073812,0.0306342544621552,0.0037217182598141,-0.0261191545956464
93,SnapATAC,H3K9me3,scCutTagPro_Zhang_2021,SicerPseudoBulk20000,raw,0.1975494859272208,0.1200369702768997,0.1948393164905026,0.1402026924115615,-0.0740340908101559
94,PeakVI,H3K9me3,scCutTagPro_Zhang_2021,SicerPseudoBulk20000,raw,0.2252365069541007,0.1361675957156029,0.2045526298872695,0.1892810861788762,-0.0279019514713379
95,SCALE,H3K9me3,scCutTagPro_Zhang_2021,SicerPseudoBulk20000,raw,0.2496920869516959,0.1532625257826885,0.2414302870539503,0.1531356847169005,-0.0641011485382316
96,NMF,H3K9me3,scCutTagPro_Zhang_2021,SicerPseudoBulk20000,raw,0.0725340942309327,0.0361443078817214,0.0743342288334408,0.0202567483993414,-0.1323723879566413
97,TFIDF-NMF,H3K9me3,scCutTagPro_Zhang_2021,SicerPseudoBulk20000,raw,0.2176895980715739,0.2019586204654865,0.2110806712960564,0.1579063211956161,-0.0588938283434652
98,Chromscape_LSI,H3K9me3,scCutTagPro_Zhang_2021,30,raw,0.0114158601241469,0.014058844556671,0.0749018357559153,0.0782008555760406,-0.152711922632099
99,Chromscape_PCA,H3K9me3,scCutTagPro_Zhang_2021,30,raw,0.1871913872870584,0.177222109893168,0.1309478487763443,0.0813884560513241,-0.0843195223920253
100,Signac,H3K9me3,scCutTagPro_Zhang_2021,30,raw,0.0604719446434978,-0.0179415451189407,0.0009003043875569,0.0001551229831658,-0.1696188404054237
101,SnapATAC,H3K9me3,scCutTagPro_Zhang_2021,30,raw,0.2449350222348575,0.1832881792750819,0.2017056997234516,0.1377633609336412,-0.1024006300647929
102,cisTopic,H3K9me3,scCutTagPro_Zhang_2021,30,raw,0.2687708605036313,0.1702103119228589,0.2611323256619082,0.2211654196983233,-0.0473788609467824
103,NMF,H3K9me3,scCutTagPro_Zhang_2021,30,raw,0.0665043126925975,-0.0217462036028739,0.0802602689735989,-0.0220178009682167,-0.2132977610958448
104,TFIDF-NMF,H3K9me3,scCutTagPro_Zhang_2021,30,raw,0.2177683551866067,0.2235400842379548,0.2120385795724305,0.1591501133446922,-0.0697500222960382
105,Chromscape_LSI,H3K9me3,scCutTagPro_Zhang_2021,SicerPseudoBulk200,raw,0.0068456603402574,0.0052774693170044,0.0055660687240408,0.0054248700060757,-0.1042293577750196
106,Chromscape_PCA,H3K9me3,scCutTagPro_Zhang_2021,SicerPseudoBulk200,raw,0.0100796253567705,0.0115760373118748,0.0094982378305148,0.0057344630165914,-0.1174632848732753
107,Signac,H3K9me3,scCutTagPro_Zhang_2021,SicerPseudoBulk200,raw,0.0334006969363229,-0.016015770663629,0.055129263903232,-0.0171897980782768,-0.1384090496828467
108,SnapATAC,H3K9me3,scCutTagPro_Zhang_2021,SicerPseudoBulk200,raw,0.0612066271416237,-0.0118454740718803,0.0599348105776416,0.0049941596528701,-0.0960110403391353
109,PeakVI,H3K9me3,scCutTagPro_Zhang_2021,SicerPseudoBulk200,raw,0.063949403164737,0.0548217311515564,0.0663915958931083,0.0603160206187105,-0.0014473901212412
110,SCALE,H3K9me3,scCutTagPro_Zhang_2021,SicerPseudoBulk200,raw,0.0481379751153646,0.007787367346375,0.0494984207029893,0.0058554890702952,-0.0694044845347182
111,NMF,H3K9me3,scCutTagPro_Zhang_2021,SicerPseudoBulk200,raw,0.0422364470480779,-0.0180679838942873,0.041262735687671,-0.0178303790703378,-0.164583478217313
112,TFIDF-NMF,H3K9me3,scCutTagPro_Zhang_2021,SicerPseudoBulk200,raw,0.0438370040906135,-0.0090318872018071,0.0551467401029465,-0.005207446493746,-0.0876880359132379
113,Chromscape_LSI,H3K27ac,scCutTagPro_Zhang_2021,500,raw,0.3128844703560781,0.2146872340440007,0.3295587115951897,0.2862820049237108,-0.0291686961440679
114,Chromscape_PCA,H3K27ac,scCutTagPro_Zhang_2021,500,raw,0.0992134931138287,0.1209923546539424,0.0658549704705929,0.1298711419975995,-0.0476205464012587
115,Signac,H3K27ac,scCutTagPro_Zhang_2021,500,raw,0.2965901194602362,0.2030986009437767,0.1150765146879899,0.0115933161068612,-0.0257113526287118
116,cisTopic,H3K27ac,scCutTagPro_Zhang_2021,500,raw,0.3064053853878607,0.2162035027801522,0.2946396380618567,0.2085249443860953,0.0019574020048949
117,NMF,H3K27ac,scCutTagPro_Zhang_2021,500,raw,0.1586506349242156,0.0083573975761158,0.1676493529236373,0.0553432975646492,-0.1224388174184015
118,TFIDF-NMF,H3K27ac,scCutTagPro_Zhang_2021,500,raw,0.3573114125935248,0.249894741387635,0.3363220399700837,0.2433856543763488,-0.0186297242995953
119,Chromscape_LSI,H3K27ac,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw,0.1736851353895967,0.1847614862805291,0.319190632663592,0.2323660261492217,-0.1204944031654615
120,Chromscape_PCA,H3K27ac,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw,0.0050083892233059,0.0045598519410544,0.0052652344576234,0.0140231043712027,-0.0900369832194995
