,Method,Mark,Dataset,binsize,feature_selection,kmeans_ami,kmeans_ari,ward_ami,ward_ari,silhouette,cosine_ami,cosine_ari
1562,NMF,H3K27me3,PairedTag_Zhu_2021,300,raw,0.1567309430174384,0.0285410803774548,0.2382447151278625,0.0383301157760671,-0.1925905241900549,0.3290805375196211,0.1563814478222113
1563,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,300,raw,0.4150386563607889,0.2222324765268185,0.4295171771779801,0.2315333342314062,-0.0163101336710111,0.4648849648607714,0.2891828041064421
1564,Chromscape_LSI,H3K27me3,PairedTag_Zhu_2021,200,raw,0.3621155666485772,0.1591989230478325,0.3756780789413095,0.1558618475557801,-0.0620600403109973,0.4527948514941331,0.2662124863241473
1565,Chromscape_PCA,H3K27me3,PairedTag_Zhu_2021,200,raw,0.2419107178238486,0.1249327128083334,0.2193476095407021,0.1084401771767721,-0.09001853514316,0.2035433842062708,0.1316505577080272
1566,Signac,H3K27me3,PairedTag_Zhu_2021,200,raw,0.3935934492112182,0.1033385073342571,0.3583675846026657,0.1285530150037945,-0.1272416985238454,0.4302056929377326,0.2965950334712759
1567,SnapATAC,H3K27me3,PairedTag_Zhu_2021,200,raw,0.3323806956614741,0.1246165178365699,0.3394468871200852,0.1460350572622041,-0.0619182282088625,0.2241687481876836,0.078425653147533
1568,cisTopic,H3K27me3,PairedTag_Zhu_2021,200,raw,0.3191591306791534,0.1216645633353224,0.2993857396200002,0.1150969792876339,-0.0461064433183134,0.3144557107010423,0.166455349312853
1569,PeakVI,H3K27me3,PairedTag_Zhu_2021,200,raw,0.3046360610303603,0.1689885418822402,0.2760685510786517,0.1433816606569935,-0.0288664286155004,0.0542240323005573,0.00259047090208
1570,SCALE,H3K27me3,PairedTag_Zhu_2021,200,raw,0.3427004403129614,0.1611544544353634,0.3117216569794674,0.1289516389431734,-0.0125991443304454,0.1356420977547827,0.009681076897542
1571,NMF,H3K27me3,PairedTag_Zhu_2021,200,raw,0.1925877954949487,0.0219155451159864,0.1896348824973025,0.0305928698287053,-0.2067411015306916,0.3363021247646613,0.1840094702334726
1572,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,200,raw,0.4178703718162976,0.2068179551140651,0.4259578638477495,0.2277907060623171,-0.008901284363307,0.4581906189666747,0.2662112595942695
1573,Chromscape_LSI,H3K27me3,PairedTag_Zhu_2021,30,raw,0.2683226376146913,0.0708706112445249,0.2655995856068349,0.0890748671577068,-0.1614934997846005,0.3337122349591394,0.1630584468583205
1574,Chromscape_PCA,H3K27me3,PairedTag_Zhu_2021,30,raw,0.1022557703547357,0.043934998989701,0.0749560859402206,0.0291526287569978,-0.1599486128843246,0.0526637156226678,0.0253055422400003
1575,Signac,H3K27me3,PairedTag_Zhu_2021,30,raw,-0.0006118060364337,-0.0002455944126958,-0.0008580875995084,-0.000400670845784,-0.2162863215023633,0.2803998977138232,0.070578002989825
1576,SnapATAC,H3K27me3,PairedTag_Zhu_2021,30,raw,0.2883695406327792,0.1120851578293522,0.2840240418269481,0.1110898694956827,-0.048893328089157,0.1870496366949545,0.0634818898642609
1577,cisTopic,H3K27me3,PairedTag_Zhu_2021,30,raw,0.3294187496506974,0.1326796484921645,0.3241465291331255,0.1367371695012014,-0.0205654306094368,0.3463764907876849,0.2073206984192797
1578,PeakVI,H3K27me3,PairedTag_Zhu_2021,30,raw,0.1546012342552003,0.064968418265446,0.1279909758390178,0.0593540223699964,-0.0407434680953191,0.0224182006081382,0.0050829408099634
1579,SCALE,H3K27me3,PairedTag_Zhu_2021,30,raw,0.3397925265428936,0.1535378294981768,0.3252910262434066,0.1486646815082103,-0.0183595907384085,0.153962300595051,0.0093441847489787
1580,NMF,H3K27me3,PairedTag_Zhu_2021,30,raw,0.0786290201419967,0.0063463938630914,0.0725055087999458,0.0025483833533541,-0.2965377619553638,0.1502003605257182,0.0548931356318956
1581,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,30,raw,0.3917640961919879,0.1939500199951702,0.4133111556959249,0.2366263079106763,-0.0370484329128168,0.4463835323073116,0.2655349659050028
1582,NMF,H3K27me3,PairedTag_Zhu_2021,500,filtered_cell_baseline,0.1526905591289935,0.0037642234019049,0.1685061842621932,0.0125022367085543,-0.2849536938960796,,
1583,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,500,filtered_cell_baseline,0.4222368505635481,0.2213302456719421,0.4373096946146404,0.2349415563307009,-0.0102569994060305,,
1584,NMF,H3K27me3,PairedTag_Zhu_2021,1000,filtered_cell_baseline,0.1575831936801308,0.0031125087739548,0.2054732888822572,0.0288583076747543,-0.2592173842228256,,
1585,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,1000,filtered_cell_baseline,0.4082201592615415,0.2001256771123389,0.416612113880034,0.2098335411126789,-0.0134952079574659,,
1586,NMF,H3K27me3,PairedTag_Zhu_2021,10,filtered_cell_baseline,0.0455695175223129,0.0075298679312945,0.0405680801195292,0.0044900292065762,-0.3895969174795732,,
1587,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,10,filtered_cell_baseline,0.3081240749903183,0.1443040423804887,0.3114090911927152,0.1840767085732347,-0.0739955362100138,,
1588,NMF,H3K27me3,PairedTag_Zhu_2021,50,filtered_cell_baseline,0.1019425752578103,0.0171812363944204,0.0901666713516438,0.0149222734899495,-0.3458806721131072,,
1589,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,50,filtered_cell_baseline,0.3950329230636226,0.1994758586500891,0.4016415263224875,0.1978837703195327,-0.0239103950346386,,
1590,NMF,H3K27me3,PairedTag_Zhu_2021,20,filtered_cell_baseline,0.0369472307454675,0.0064943441219333,0.0355299549294686,0.0075710293935207,-0.3766778907484736,,
1591,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,20,filtered_cell_baseline,0.3620646618995716,0.1680986025591995,0.3686332743506975,0.1927464149605393,-0.0537668511891738,,
1592,NMF,H3K27me3,PairedTag_Zhu_2021,100,filtered_cell_baseline,0.1153547841695952,0.0173726122008555,0.1130158456776581,0.0221514986697182,-0.2892892707294073,,
1593,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,100,filtered_cell_baseline,0.4164171677930938,0.2060624250130873,0.4472257794572697,0.2476642063224913,-0.0242170073933268,,
1594,NMF,H3K27me3,PairedTag_Zhu_2021,300,filtered_cell_baseline,0.1543754363737979,0.0056558533843075,0.1504667395485655,0.0073270337956831,-0.2733397959081399,,
1595,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,300,filtered_cell_baseline,0.4195322985969958,0.2379511567375098,0.4152675537755977,0.2235762122136576,-0.0120070476822555,,
1596,NMF,H3K27me3,PairedTag_Zhu_2021,200,filtered_cell_baseline,0.1331359739326616,0.0214641243815842,0.1051297123602734,0.0032571749051098,-0.295524395394513,,
1597,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,200,filtered_cell_baseline,0.4187327933375078,0.2267171385438227,0.4386394718752174,0.2441676360204891,-0.0180984674643084,,
1598,NMF,H3K27me3,PairedTag_Zhu_2021,30,filtered_cell_baseline,0.0486572881239415,0.007608245805105,0.0438772499440129,0.0127562621647155,-0.3583678548649272,,
1599,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,30,filtered_cell_baseline,0.3604357351005449,0.1719002200088608,0.3675613396397166,0.1640634904200383,-0.0768027528044052,,
1600,NMF,H3K27me3,PairedTag_Zhu_2021,500,sampled_cell_p_40,0.1401464951707602,-0.0003788600948933,0.12452306838146,-0.0005635660234217,-0.2818456680237688,,
1601,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,500,sampled_cell_p_40,0.4157688318653986,0.1917277773969044,0.4247580937153751,0.2094280420283901,-0.022603733913156,,
1602,NMF,H3K27me3,PairedTag_Zhu_2021,1000,sampled_cell_p_40,0.1905444785153918,0.0113979077478809,0.2226494063918483,0.0572856454143966,-0.2434962926912587,,
1603,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,1000,sampled_cell_p_40,0.4101319764586776,0.1953096641674528,0.4006568315234882,0.2051654943538566,-0.0158929614780685,,
1604,NMF,H3K27me3,PairedTag_Zhu_2021,10,sampled_cell_p_40,0.0312759116310569,0.0081456743258231,0.0276817520220926,0.0081750046928121,-0.4154465823642401,,
1605,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,10,sampled_cell_p_40,0.3455547518554624,0.1448195424904461,0.329775361926638,0.1406125281264108,-0.0608639473626201,,
1606,NMF,H3K27me3,PairedTag_Zhu_2021,50,sampled_cell_p_40,0.137727195439512,0.0176179577402874,0.0982644126785861,0.0164683417460229,-0.3688044535885172,,
1607,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,50,sampled_cell_p_40,0.4323945966227986,0.2022462926037272,0.4458510127799487,0.230914202578373,-0.0145316518979172,,
1608,NMF,H3K27me3,PairedTag_Zhu_2021,20,sampled_cell_p_40,0.0419876548694848,0.009313816008482,0.0524623391340104,0.0104674431627931,-0.4217299441116361,,
1609,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,20,sampled_cell_p_40,0.3807105436998923,0.1734048643062324,0.3821739425098375,0.1828043089004711,-0.0468426234478632,,
1610,NMF,H3K27me3,PairedTag_Zhu_2021,100,sampled_cell_p_40,0.1527343660217965,0.0400016821757549,0.1833116063541016,0.0332357767961927,-0.2845011145693517,,
1611,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,100,sampled_cell_p_40,0.437799934948278,0.2025506148149987,0.4392817799707969,0.2253092150915829,-0.016986830318361,,
1612,NMF,H3K27me3,PairedTag_Zhu_2021,300,sampled_cell_p_40,0.1380860167780503,0.0232442233851925,0.1457630723110919,0.0143598332343637,-0.2873614217850821,,
1613,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,300,sampled_cell_p_40,0.434327290054446,0.2084436276015167,0.4294259732796531,0.2271314463686274,-0.0259352310670017,,
1614,NMF,H3K27me3,PairedTag_Zhu_2021,200,sampled_cell_p_40,0.1639340943957201,0.0295402061191569,0.2109883626346888,0.0625858303912859,-0.2995349856448119,,
1615,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,200,sampled_cell_p_40,0.4322801533482052,0.2155141909775213,0.4371117102338752,0.2066327390806316,-0.0110700557653415,,
1616,NMF,H3K27me3,PairedTag_Zhu_2021,30,sampled_cell_p_40,0.0465846783541885,0.0045697805337879,0.0588062054188861,0.0027731504305734,-0.4137089597932626,,
1617,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,30,sampled_cell_p_40,0.3682939516006488,0.158286721179629,0.3589052279148083,0.1570413293045284,-0.0746446144858351,,
1618,NMF,H3K27me3,PairedTag_Zhu_2021,500,filtered_cell_q_40_90,0.3187395243826219,0.1461230111841293,0.3139105015374205,0.1427716220600852,-0.0437808068259523,,
1619,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,500,filtered_cell_q_40_90,0.4634099432787789,0.2473418263919634,0.4572374486490767,0.2341310008571827,0.0266270369802506,,
1620,NMF,H3K27me3,PairedTag_Zhu_2021,1000,filtered_cell_q_40_90,0.3333326377572164,0.1549959318319506,0.325943859032601,0.1530443162799452,-0.0325730541096385,,
1621,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,1000,filtered_cell_q_40_90,0.4458627477957959,0.2522534188680932,0.4403192002320685,0.2656679125659902,0.0249976156354468,,
1622,NMF,H3K27me3,PairedTag_Zhu_2021,10,filtered_cell_q_40_90,0.1092109762138066,0.0370694703378685,0.1072347449107487,0.0376544080956555,-0.1992656146675951,,
1623,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,10,filtered_cell_q_40_90,0.347076947130748,0.1852720150197536,0.347006108770785,0.2091244852468752,-0.0545938576823605,,
1624,NMF,H3K27me3,PairedTag_Zhu_2021,50,filtered_cell_q_40_90,0.3270433294541956,0.152449358309271,0.3583829270884373,0.1679357106948403,-0.0584576320522998,,
1625,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,50,filtered_cell_q_40_90,0.4728263229093485,0.2833857425511752,0.4823351829676638,0.3066132174377662,0.0488244750454397,,
1626,NMF,H3K27me3,PairedTag_Zhu_2021,20,filtered_cell_q_40_90,0.2894024948257049,0.1353062877784228,0.2457560175671468,0.0930711994265145,-0.1306683754521305,,
1627,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,20,filtered_cell_q_40_90,0.4150144656597833,0.2171825809002514,0.4137782161811561,0.2196575740278078,-0.0245611042827206,,
1628,NMF,H3K27me3,PairedTag_Zhu_2021,100,filtered_cell_q_40_90,0.3556941565354242,0.1837551184296997,0.3818781481169827,0.2175768663170668,-0.0219407126081694,,
1629,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,100,filtered_cell_q_40_90,0.4675135995353002,0.2477117225155208,0.4871631278284807,0.2880269205533347,0.0379662551508634,,
1630,NMF,H3K27me3,PairedTag_Zhu_2021,300,filtered_cell_q_40_90,0.3343154699435747,0.1778736779885351,0.3515086235114121,0.1755367414961012,-0.0301166833111301,,
1631,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,300,filtered_cell_q_40_90,0.4758898836234725,0.2862305820704148,0.477744688274873,0.2895414004370754,0.0342426789719928,,
1632,NMF,H3K27me3,PairedTag_Zhu_2021,200,filtered_cell_q_40_90,0.3787650630029773,0.1814340784919564,0.4033025628828939,0.2315517273235071,-0.0259094306978549,,
1633,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,200,filtered_cell_q_40_90,0.4747485520186467,0.2743703276304202,0.4780660513281556,0.2995991882932762,0.0415561754009097,,
1634,NMF,H3K27me3,PairedTag_Zhu_2021,30,filtered_cell_q_40_90,0.2954972223947101,0.137735062428618,0.3353959226050814,0.1880556711001888,-0.0965844556362978,,
1635,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,30,filtered_cell_q_40_90,0.4384222877531309,0.2314018290034458,0.448939780999563,0.2653897983896782,0.0197190404939125,,
1636,NMF,H3K27me3,PairedTag_Zhu_2021,500,filtered_hvg_5,0.1704633133189207,0.0266859973650758,0.1854466614352676,0.0298421273254763,-0.1985897008001014,,
1637,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,500,filtered_hvg_5,0.4037192184247574,0.2113959236324561,0.4246631986757937,0.2126595898028148,-0.0039602601362026,,
1638,NMF,H3K27me3,PairedTag_Zhu_2021,1000,filtered_hvg_5,0.1509448047611339,0.0191587229229282,0.1782719629450561,0.0307850208789525,-0.21071315677127,,
1639,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,1000,filtered_hvg_5,0.4005084807130393,0.1928495785380075,0.3961261927040476,0.1820748001136148,-0.0147310088078585,,
1640,NMF,H3K27me3,PairedTag_Zhu_2021,10,filtered_hvg_5,0.0453501640079958,0.0056127480389229,0.0342999614578972,0.0029764084109585,-0.3349782490153101,,
1641,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,10,filtered_hvg_5,0.3815820105031453,0.171783313129009,0.3866697010324735,0.1906411220273979,-0.0380709984443182,,
1642,NMF,H3K27me3,PairedTag_Zhu_2021,50,filtered_hvg_5,0.1474798512460318,0.0180635297899856,0.1388658083068439,0.0213990997184352,-0.2789352605630092,,
1643,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,50,filtered_hvg_5,0.4132439537141918,0.2265769821237188,0.4421422908215671,0.2638041121103791,0.0006948755925461,,
1644,NMF,H3K27me3,PairedTag_Zhu_2021,20,filtered_hvg_5,0.0456390596738329,0.0062945333891043,0.0441773136157558,0.006743659739916,-0.2882089449228259,,
1645,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,20,filtered_hvg_5,0.4032976854490179,0.1936451618423759,0.4105957864255047,0.2155917268884059,-0.0339377157275387,,
1646,NMF,H3K27me3,PairedTag_Zhu_2021,100,filtered_hvg_5,0.1826743545544867,0.0411131831832747,0.148922251999354,0.0215131858832074,-0.1902714931916316,,
1647,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,100,filtered_hvg_5,0.4155059166710321,0.2050758758588054,0.4217688118536959,0.2428047082659242,-0.0047882528104555,,
1648,NMF,H3K27me3,PairedTag_Zhu_2021,300,filtered_hvg_5,0.1932248033438877,0.0180761588284571,0.2271489133368107,0.0413052853604547,-0.1908593482803403,,
1649,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,300,filtered_hvg_5,0.4039495512886428,0.1907520645235405,0.4160944611413762,0.2426732410288666,-0.0072071182034056,,
1650,NMF,H3K27me3,PairedTag_Zhu_2021,200,filtered_hvg_5,0.1153462055498035,0.0209592655860456,0.1457986771280461,0.0378193862158829,-0.195369668135563,,
1651,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,200,filtered_hvg_5,0.422136343991736,0.2093604290466053,0.4516592146635553,0.2637166661792075,-0.0166635361655556,,
1652,NMF,H3K27me3,PairedTag_Zhu_2021,30,filtered_hvg_5,0.0697970217531333,0.0046299954495276,0.0929788229705473,0.0174791716085213,-0.2950051085679911,,
1653,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,30,filtered_hvg_5,0.4045416620637433,0.197225462659801,0.3959575351228513,0.1968956723680283,-0.0260011638106575,,
1654,NMF,H3K27me3,PairedTag_Zhu_2021,500,filtered_q_10,0.1490664173045548,0.022904933412647,0.1151867388581171,0.0003602030328993,-0.2062409341111086,,
1655,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,500,filtered_q_10,0.4137833478995915,0.201598712324867,0.4193870182178941,0.2432918833725787,-0.0148923960146542,,
1656,NMF,H3K27me3,PairedTag_Zhu_2021,1000,filtered_q_10,0.1915652503254689,0.0174787298781536,0.2382019104492882,0.025979548398375,-0.1794222489710846,,
1657,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,1000,filtered_q_10,0.397547342486214,0.206801238883343,0.3879494319731324,0.1898013438851671,-0.0164177479178842,,
1658,NMF,H3K27me3,PairedTag_Zhu_2021,10,filtered_q_10,0.0584326435160986,0.0105347659184568,0.0350678218201466,0.0015333808674833,-0.32673158301967,,
1659,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,10,filtered_q_10,0.3908162000506177,0.1767024280035473,0.3988186073259182,0.2106121502518058,-0.0195885888950259,,
1660,NMF,H3K27me3,PairedTag_Zhu_2021,50,filtered_q_10,0.1838468784941865,0.0194489294380897,0.2176752960563905,0.0435005518641307,-0.229930200707818,,
1661,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,50,filtered_q_10,0.4233194252382517,0.2101687042513822,0.4368639920152729,0.2484564207290315,-0.0163672362180803,,
1662,NMF,H3K27me3,PairedTag_Zhu_2021,20,filtered_q_10,0.0333747999884428,0.0040729941600304,0.0383519879045599,0.0050746276518761,-0.3022342688332045,,
1663,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,20,filtered_q_10,0.4164290367672983,0.2103859387251267,0.43757231088313,0.2445967133955391,-0.0088782877782521,,
1664,NMF,H3K27me3,PairedTag_Zhu_2021,100,filtered_q_10,0.1417984302070195,0.0259522821183485,0.1559464599340493,0.033117293171275,-0.1913046544784418,,
1665,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,100,filtered_q_10,0.4266989311520933,0.1990886600899314,0.4459267227140671,0.2453406771796973,-0.0109343515903545,,
1666,NMF,H3K27me3,PairedTag_Zhu_2021,300,filtered_q_10,0.2251474692616653,0.0517351504630737,0.2571012633532757,0.0551180217778211,-0.1799040241909457,,
1667,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,300,filtered_q_10,0.4197706139144926,0.2018596162070468,0.433963010190356,0.2241844967403073,-0.0110833610607002,,
1668,NMF,H3K27me3,PairedTag_Zhu_2021,200,filtered_q_10,0.2259934900917365,0.0268890048747539,0.2357283537896162,0.0496953226497796,-0.2065277032738032,,
1669,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,200,filtered_q_10,0.4223768042515208,0.2003500456066283,0.4335514745927249,0.2134561681875026,-0.0118967072593068,,
1670,NMF,H3K27me3,PairedTag_Zhu_2021,30,filtered_q_10,0.1109988102051718,0.0197086386101732,0.0898095982141623,0.0155143401919831,-0.2719345901485228,,
1671,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,30,filtered_q_10,0.3984501404294012,0.1780175663384671,0.4021114792660811,0.2141307679057786,-0.0354144990941576,,
1672,NMF,H3K27me3,PairedTag_Zhu_2021,500,filtered_cell_q_30_80,0.3277774979356498,0.1404731337432629,0.3288635282454401,0.1560286463433622,-0.0426007411463564,,
1673,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,500,filtered_cell_q_30_80,0.4444525126438497,0.2273111219018227,0.4535925159951174,0.2429721329149811,0.0165686492460099,,
1674,NMF,H3K27me3,PairedTag_Zhu_2021,1000,filtered_cell_q_30_80,0.3025682309304717,0.1204228901753008,0.2991258226080881,0.1292766352604489,-0.0413690831833393,,
1675,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,1000,filtered_cell_q_30_80,0.4211498291517349,0.2157492680013125,0.403231345493183,0.2273601636521128,0.0010948625741842,,
1676,NMF,H3K27me3,PairedTag_Zhu_2021,10,filtered_cell_q_30_80,0.2547493236864963,0.1150703704611005,0.2565294410736699,0.1288393984019816,-0.1380037441843204,,
1677,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,10,filtered_cell_q_30_80,0.3043805976942075,0.1457759320579051,0.3045660256383088,0.1451070978994913,-0.0763453752443975,,
1678,NMF,H3K27me3,PairedTag_Zhu_2021,50,filtered_cell_q_30_80,0.3118769635323198,0.1434360337338265,0.3156830709222054,0.1598313511355349,-0.0821040130161881,,
1679,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,50,filtered_cell_q_30_80,0.4457832143373608,0.2160721343315243,0.4521413124720303,0.2298653436547668,-0.001753473763789,,
1680,NMF,H3K27me3,PairedTag_Zhu_2021,20,filtered_cell_q_30_80,0.2865990821701722,0.1282299051517393,0.2837423629507635,0.1440268222370839,-0.1253163064980155,,
1681,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,20,filtered_cell_q_30_80,0.424005948430607,0.218441529780453,0.431551493332228,0.2386189073501159,-0.0094087607806558,,
1682,NMF,H3K27me3,PairedTag_Zhu_2021,100,filtered_cell_q_30_80,0.3371689707901716,0.1616267422731367,0.346519516028003,0.1711064188620306,-0.0424969028685808,,
1683,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,100,filtered_cell_q_30_80,0.4760695887136498,0.2659680308510319,0.4768603991092037,0.2845682995213068,0.0321333995478438,,
1684,NMF,H3K27me3,PairedTag_Zhu_2021,300,filtered_cell_q_30_80,0.3112394527549134,0.1342081425388404,0.3235996104392318,0.133312297983534,-0.0394886603234023,,
1685,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,300,filtered_cell_q_30_80,0.4460526591551151,0.2260850871383111,0.4480116151338875,0.2421222620297483,0.0022372190120824,,
1686,NMF,H3K27me3,PairedTag_Zhu_2021,200,filtered_cell_q_30_80,0.3167463422268134,0.1456758914997592,0.335414066686757,0.1799402017481521,-0.0413101238120519,,
1687,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,200,filtered_cell_q_30_80,0.4721863877994812,0.2434203981633888,0.4843418770271893,0.2924000462238518,0.027717133233996,,
1688,NMF,H3K27me3,PairedTag_Zhu_2021,30,filtered_cell_q_30_80,0.2913076351101178,0.1380012366458726,0.2775033248280378,0.1341764078022344,-0.0749105280937732,,
1689,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,30,filtered_cell_q_30_80,0.4136350466777059,0.2063340116706398,0.4127718686451475,0.2120144086993821,-0.0308068023044028,,
1690,NMF,H3K27me3,PairedTag_Zhu_2021,500,filtered_hvg_10,0.1704633133189207,0.0266859973650758,0.1854466614352676,0.0298421273254763,-0.1985897008001014,,
1691,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,500,filtered_hvg_10,0.4037192184247574,0.2113959236324561,0.4246631986757937,0.2126595898028148,-0.0039602601362026,,
1692,NMF,H3K27me3,PairedTag_Zhu_2021,1000,filtered_hvg_10,0.1509448047611339,0.0191587229229282,0.1782719629450561,0.0307850208789525,-0.21071315677127,,
1693,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,1000,filtered_hvg_10,0.4005084807130393,0.1928495785380075,0.3961261927040476,0.1820748001136148,-0.0147310088078585,,
1694,NMF,H3K27me3,PairedTag_Zhu_2021,10,filtered_hvg_10,0.0453501640079958,0.0056127480389229,0.0342999614578972,0.0029764084109585,-0.3349782490153101,,
1695,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,10,filtered_hvg_10,0.3815820105031453,0.171783313129009,0.3866697010324735,0.1906411220273979,-0.0380709984443182,,
1696,NMF,H3K27me3,PairedTag_Zhu_2021,50,filtered_hvg_10,0.1474798512460318,0.0180635297899856,0.1388658083068439,0.0213990997184352,-0.2789352605630092,,
1697,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,50,filtered_hvg_10,0.4132439537141918,0.2265769821237188,0.4421422908215671,0.2638041121103791,0.0006948755925461,,
1698,NMF,H3K27me3,PairedTag_Zhu_2021,20,filtered_hvg_10,0.0456390596738329,0.0062945333891043,0.0441773136157558,0.006743659739916,-0.2882089449228259,,
1699,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,20,filtered_hvg_10,0.4032976854490179,0.1936451618423759,0.4105957864255047,0.2155917268884059,-0.0339377157275387,,
1700,NMF,H3K27me3,PairedTag_Zhu_2021,100,filtered_hvg_10,0.1826743545544867,0.0411131831832747,0.148922251999354,0.0215131858832074,-0.1902714931916316,,
1701,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,100,filtered_hvg_10,0.4155059166710321,0.2050758758588054,0.4217688118536959,0.2428047082659242,-0.0047882528104555,,
1702,NMF,H3K27me3,PairedTag_Zhu_2021,300,filtered_hvg_10,0.1932248033438877,0.0180761588284571,0.2271489133368107,0.0413052853604547,-0.1908593482803403,,
1703,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,300,filtered_hvg_10,0.4039495512886428,0.1907520645235405,0.4160944611413762,0.2426732410288666,-0.0072071182034056,,
1704,NMF,H3K27me3,PairedTag_Zhu_2021,200,filtered_hvg_10,0.1153462055498035,0.0209592655860456,0.1457986771280461,0.0378193862158829,-0.195369668135563,,
1705,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,200,filtered_hvg_10,0.422136343991736,0.2093604290466053,0.4516592146635553,0.2637166661792075,-0.0166635361655556,,
1706,NMF,H3K27me3,PairedTag_Zhu_2021,30,filtered_hvg_10,0.0697970217531333,0.0046299954495276,0.0929788229705473,0.0174791716085213,-0.2950051085679911,,
1707,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,30,filtered_hvg_10,0.4045416620637433,0.197225462659801,0.3959575351228513,0.1968956723680283,-0.0260011638106575,,
1708,NMF,H3K27me3,PairedTag_Zhu_2021,500,filtered_cell_q_20_70,0.2861234301842407,0.1185750758153067,0.2986740610281432,0.1468919061852835,-0.0404433297862046,,
1709,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,500,filtered_cell_q_20_70,0.434644873808085,0.2080560555392383,0.4299507471369923,0.233634649867592,-0.0004341416464471,,
1710,NMF,H3K27me3,PairedTag_Zhu_2021,1000,filtered_cell_q_20_70,0.2954780782182378,0.1324125024686949,0.2837308650184952,0.1183790795723815,-0.0574542616296503,,
1711,TFIDF-NMF,H3K27me3,PairedTag_Zhu_2021,1000,filtered_cell_q_20_70,0.4027100813917135,0.1909485459684842,0.39005635094175,0.1912424531783246,-0.0125185677341866,,
