,Method,K,fraction,frac. shared neighbors,Mark,Dataset,binsize,feature_selection
88,cisTopic,415,0.05,0.1180630034589224,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
89,NMF,415,0.05,0.0802690530909766,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
90,TFIDF-NMF,415,0.05,0.104551732943334,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
91,Chromscape_LSI,830,0.1,0.1414552719548715,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
92,Chromscape_PCA,830,0.1,0.1450759686143417,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
93,Signac,830,0.1,0.1460104870348446,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
94,SnapATAC,830,0.1,0.1758103222137103,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
95,cisTopic,830,0.1,0.2063270422731388,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
96,NMF,830,0.1,0.1396978085753418,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
97,TFIDF-NMF,830,0.1,0.1866390417159969,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
98,Chromscape_LSI,8,0.001,0.002242894990366,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
99,Chromscape_PCA,8,0.001,0.0020622591522157,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
100,Signac,8,0.001,0.0002107418111753,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
101,SnapATAC,8,0.001,0.0009332851637764,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
102,cisTopic,8,0.001,0.0038084055876685,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
103,NMF,8,0.001,0.0002408477842003,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
104,TFIDF-NMF,8,0.001,0.0002408477842003,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
105,Chromscape_LSI,25,0.003,0.0064836223506743,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
106,Chromscape_PCA,25,0.003,0.0059922928709055,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
107,Signac,25,0.003,0.0005876685934489,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
108,SnapATAC,25,0.003,0.0028516377649325,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
109,cisTopic,25,0.003,0.0101926782273603,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
110,NMF,25,0.003,0.0006117533718689,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
111,TFIDF-NMF,25,0.003,0.000631021194605,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
112,Chromscape_LSI,42,0.005,0.0099865813377374,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
